"Gene.stable.ID","Gene.name"
"ENSMMUG00000010522","GJB2"
"ENSMMUG00000032866","SNORD74B"
"ENSMMUG00000057930","RNU2-55P"
"ENSMMUG00000004709","PSMF1"
"ENSMMUG00000021670","SLC52A3"
"ENSMMUG00000006945","C1QTNF9B"
"ENSMMUG00000006945","C1QTNF9"
"ENSMMUG00000052370","U6"
"ENSMMUG00000052370","RNU6-614P"
"ENSMMUG00000020050","SIK1B"
"ENSMMUG00000021904","CDC45"
"ENSMMUG00000009912","FGF9"
"ENSMMUG00000022222","IL17RA"
"ENSMMUG00000061092","DEFB125"
"ENSMMUG00000004711","TMEM74B"
"ENSMMUG00000059463","RNU6-1334P"
"ENSMMUG00000013407","ADAMTS1"
"ENSMMUG00000049433","SCRT2"
"ENSMMUG00000047879","FAM110A"
"ENSMMUG00000021477","ATP6V1E1"
"ENSMMUG00000041171","RN7SL166P"
"ENSMMUG00000011095","BACH1"
"ENSMMUG00000021858","CHODL"
"ENSMMUG00000005704","AC171558.3"
"ENSMMUG00000033200","U3"
"ENSMMUG00000001291","SGCG"
"ENSMMUG00000016139","FLT3"
"ENSMMUG00000001292","SACS"
"ENSMMUG00000039089","XKR3"
"ENSMMUG00000008520","ATP8A2"
"ENSMMUG00000027513","RNY1P7"
"ENSMMUG00000019006","LATS2"
"ENSMMUG00000020271","CRYAA2"
"ENSMMUG00000041274","TSPY2"
"ENSMMUG00000041274","TSPY4"
"ENSMMUG00000041274","TSPY8"
"ENSMMUG00000041274","TSPY3"
"ENSMMUG00000041274","TSPY1"
"ENSMMUG00000041274","TSPY9P"
"ENSMMUG00000041274","TSPY10"
"ENSMMUG00000016475","MPHOSPH8"
"ENSMMUG00000031223","RSPO4"
"ENSMMUG00000033007","AL137247.1"
"ENSMMUG00000043966","DDX3Y"
"ENSMMUG00000053216","RNU2-57P"
"ENSMMUG00000015994","NSFL1C"
"ENSMMUG00000012777","PCDH11Y"
"ENSMMUG00000059510","AC136352.2"
"ENSMMUG00000059510","POTED"
"ENSMMUG00000051845","Y_RNA"
"ENSMMUG00000024119","RNU6-123P"
"ENSMMUG00000019925","DGCR2"
"ENSMMUG00000049075","RN7SL766P"
"ENSMMUG00000012297","PARP4"
"ENSMMUG00000028627","MIR125B2"
"ENSMMUG00000060325","DGCR6"
"ENSMMUG00000025358","AL160394.1"
"ENSMMUG00000064615","PDX1"
"ENSMMUG00000013405","ADAMTS5"
"ENSMMUG00000053255","DEFB132"
"ENSMMUG00000034635","RNU6-78P"
"ENSMMUG00000013346","MEDAG"
"ENSMMUG00000047306","Y_RNA"
"ENSMMUG00000038289","RN7SL702P"
"ENSMMUG00000020801","MICAL3"
"ENSMMUG00000003272","USP18"
"ENSMMUG00000014974","CLDN8"
"ENSMMUG00000024190","RNU6-59P"
"ENSMMUG00000039479","IL17D"
"ENSMMUG00000058998","POMP"
"ENSMMUG00000037492","LIPI"
"ENSMMUG00000055824","RNU6-286P"
"ENSMMUG00000055824","RNU6-816P"
"ENSMMUG00000036294","U6"
"ENSMMUG00000007201","PDS5B"
"ENSMMUG00000003023","CCT8"
"ENSMMUG00000008723","JAM2"
"ENSMMUG00000003771","UBL3"
"ENSMMUG00000020098","DGCR8"
"ENSMMUG00000049841","RN7SL166P"
"ENSMMUG00000034278","RNU6-1326P"
"ENSMMUG00000019832","HMGB1"
"ENSMMUG00000031106","UFD1"
"ENSMMUG00000050662","Metazoa_SRP"
"ENSMMUG00000005272","GATD3B"
"ENSMMUG00000005272","FP565260.2"
"ENSMMUG00000052705","GJA3"
"ENSMMUG00000031124","HDHD5"
"ENSMMUG00000011252","MICU2"
"ENSMMUG00000007198","N4BP2L1"
"ENSMMUG00000013371","XPO4"
"ENSMMUG00000024840","RNU6-426P"
"ENSMMUG00000014841","CDK8"
"ENSMMUG00000012600","TRIB3"
"ENSMMUG00000018823","TMEM191B"
"ENSMMUG00000026836","Y_RNA"
"ENSMMUG00000021425","USP12"
"ENSMMUG00000023771","SAMSN1"
"ENSMMUG00000020837","AMER2"
"ENSMMUG00000004461","TBC1D20"
"ENSMMUG00000026407","RNU6-53P"
"ENSMMUG00000004886","GRIK1"
"ENSMMUG00000005269","FP565260.6"
"ENSMMUG00000026997","MIR99A"
"ENSMMUG00000062608","SMIM34B"
"ENSMMUG00000058750","NRIP1"
"ENSMMUG00000052829","RNU6-926P"
"ENSMMUG00000025050","RNY1P4"
"ENSMMUG00000049650","RASL11A"
"ENSMMUG00000056387","TCF15"
"ENSMMUG00000007192","FRY"
"ENSMMUG00000005055","WASF3"
"ENSMMUG00000053651","Metazoa_SRP"
"ENSMMUG00000010648","FP565260.4"
"ENSMMUG00000040706","RN7SL168P"
"ENSMMUG00000049217","TSPY2"
"ENSMMUG00000049217","TSPY4"
"ENSMMUG00000049217","TSPY8"
"ENSMMUG00000049217","TSPY3"
"ENSMMUG00000049217","TSPY1"
"ENSMMUG00000049217","TSPY9P"
"ENSMMUG00000049217","TSPY10"
"ENSMMUG00000018159","SNPH"
"ENSMMUG00000038866","AMELY"
"ENSMMUG00000018165","SDCBP2"
"ENSMMUG00000020089","RBM11"
"ENSMMUG00000020091","HSPA13"
"ENSMMUG00000008658","MTUS2"
"ENSMMUG00000034791","Y_RNA"
"ENSMMUG00000024451","Y_RNA"
"ENSMMUG00000008661","SLC7A1"
"ENSMMUG00000009289","CBSL"
"ENSMMUG00000012107","CYYR1"
"ENSMMUG00000005271","FP565260.1"
"ENSMMUG00000043099","FAM243B"
"ENSMMUG00000033223","SNORD102"
"ENSMMUG00000050022","KRTAP27-1"
"ENSMMUG00000013367","IFT88"
"ENSMMUG00000022610","AL359736.1"
"ENSMMUG00000022610","SPATA13"
"ENSMMUG00000043768","RN7SL52P"
"ENSMMUG00000046495","TBL1Y"
"ENSMMUG00000016353","RIMBP3"
"ENSMMUG00000019831","NBEA"
"ENSMMUG00000002529","ADA2"
"ENSMMUG00000014384","APP"
"ENSMMUG00000017048","KL"
"ENSMMUG00000020835","PABPC3"
"ENSMMUG00000010416","SAP18"
"ENSMMUG00000053840","KRTAP13-4"
"ENSMMUG00000038182","UTY"
"ENSMMUG00000022608","ATP12A"
"ENSMMUG00000007373","ZDHHC20"
"ENSMMUG00000022223","TMEM121B"
"ENSMMUG00000058265","C1QTNF8"
"ENSMMUG00000061236","MAP3K15"
"ENSMMUG00000062796","RN7SL818P"
"ENSMMUG00000062796","RN7SL725P"
"ENSMMUG00000015939","ISM1"
"ENSMMUG00000060588","IGLV8-61"
"ENSMMUG00000064987","B4GALT1"
"ENSMMUG00000028363","RNU7-56P"
"ENSMMUG00000007467","SPAG11B"
"ENSMMUG00000007467","SPAG11A"
"ENSMMUG00000016211","PIGP"
"ENSMMUG00000012878","SEC23B"
"ENSMMUG00000001137","MTAP"
"ENSMMUG00000000117","HCK"
"ENSMMUG00000009101","DERL3"
"ENSMMUG00000053115","RNA5SP532"
"ENSMMUG00000053115","RNA5SP528"
"ENSMMUG00000024754","AC095353.1"
"ENSMMUG00000018261","DNAAF5"
"ENSMMUG00000005012","CSNK1A1L"
"ENSMMUG00000023785","TUBB2B"
"ENSMMUG00000006460","GNA12"
"ENSMMUG00000037633","KLHL15"
"ENSMMUG00000011986","CBY2"
"ENSMMUG00000010898","TRIM13"
"ENSMMUG00000001849","IL5RA"
"ENSMMUG00000015740","PIR"
"ENSMMUG00000017139","DHTKD1"
"ENSMMUG00000002658","DRD4"
"ENSMMUG00000043908","Metazoa_SRP"
"ENSMMUG00000005839","DZIP1"
"ENSMMUG00000051923","AVP"
"ENSMMUG00000015141","ANKRD16"
"ENSMMUG00000020482","LZTR1"
"ENSMMUG00000012426","ZDHHC21"
"ENSMMUG00000001675","ASCC2"
"ENSMMUG00000023408","MYOM2"
"ENSMMUG00000036189","RNU1-23P"
"ENSMMUG00000029310","HBA2"
"ENSMMUG00000029310","HBA1"
"ENSMMUG00000063588","TUBAL3"
"ENSMMUG00000017140","TBX1"
"ENSMMUG00000013889","TMC2"
"ENSMMUG00000011227","FOXK1"
"ENSMMUG00000007970","CCZ1"
"ENSMMUG00000039351","U7"
"ENSMMUG00000059353","PTDSS2"
"ENSMMUG00000013234","DACH1"
"ENSMMUG00000039259","CST9"
"ENSMMUG00000056528","Y_RNA"
"ENSMMUG00000023552","THOC5"
"ENSMMUG00000000494","ANKRD18B"
"ENSMMUG00000053668","TMEM215"
"ENSMMUG00000052269","DNAJC15"
"ENSMMUG00000026268","RNU5F-7P"
"ENSMMUG00000042680","RN7SL100P"
"ENSMMUG00000018994","UBE2L3"
"ENSMMUG00000027133","MIR31"
"ENSMMUG00000016976","DOCK8"
"ENSMMUG00000006428","TSR3"
"ENSMMUG00000040027","RN7SL49P"
"ENSMMUG00000035913","RNU6-889P"
"ENSMMUG00000009289","CBS"
"ENSMMUG00000021746","RNASEH2B"
"ENSMMUG00000032769","AL031650.1"
"ENSMMUG00000064452","CXorf58"
"ENSMMUG00000058938","CLDN23"
"ENSMMUG00000027214","MIR597"
"ENSMMUG00000023452","CRYBB1"
"ENSMMUG00000009106","SLC2A11"
"ENSMMUG00000009106","AP000350.4"
"ENSMMUG00000024803","AC079169.1"
"ENSMMUG00000045312","CST9L"
"ENSMMUG00000021374","EWSR1"
"ENSMMUG00000051582","RNU6-917P"
"ENSMMUG00000002278","ARID3A"
"ENSMMUG00000016815","SSTR4"
"ENSMMUG00000040196","RN7SL178P"
"ENSMMUG00000031755","GLDC"
"ENSMMUG00000009862","RUBCNL"
"ENSMMUG00000010304","CFAP298-TCP10L"
"ENSMMUG00000016627","TPMT"
"ENSMMUG00000011956","CAMK1D"
"ENSMMUG00000049053","RN7SL849P"
"ENSMMUG00000006876","TSPAN7"
"ENSMMUG00000053200","UBE2R2"
"ENSMMUG00000004209","ESD"
"ENSMMUG00000003314","AQP3"
"ENSMMUG00000063713","METRN"
"ENSMMUG00000013063","TGDS"
"ENSMMUG00000014641","IGLL5"
"ENSMMUG00000014641","IGLC1"
"ENSMMUG00000014641","IGLC2"
"ENSMMUG00000014641","IGLC3"
"ENSMMUG00000014641","IGLC7"
"ENSMMUG00000007680","NMT2"
"ENSMMUG00000061792","MEIG1"
"ENSMMUG00000017115","IDI1"
"ENSMMUG00000015143","FBH1"
"ENSMMUG00000039325","ZNF705G"
"ENSMMUG00000039325","ZNF705B"
"ENSMMUG00000011133","LMF1"
"ENSMMUG00000020179","MID1"
"ENSMMUG00000055711","RNA5SP532"
"ENSMMUG00000055711","RNA5SP528"
"ENSMMUG00000055976","CD99"
"ENSMMUG00000046520","SMIM13"
"ENSMMUG00000064940","Y_RNA"
"ENSMMUG00000007709","CRNKL1"
"ENSMMUG00000061385","DEK"
"ENSMMUG00000056827","MLNR"
"ENSMMUG00000000596","LUC7L"
"ENSMMUG00000053432","IGLV4-3"
"ENSMMUG00000015204","RAB36"
"ENSMMUG00000001058","TTC28"
"ENSMMUG00000021376","GAS2L1"
"ENSMMUG00000011502","ODF3"
"ENSMMUG00000050596","CST3"
"ENSMMUG00000043161","ERVFRD-1"
"ENSMMUG00000004210","HTR2A"
"ENSMMUG00000042819","RNF215"
"ENSMMUG00000021744","DLEU7"
"ENSMMUG00000020099","TRMT2A"
"ENSMMUG00000004745","BCLAF3"
"ENSMMUG00000042317","SUPT20HL2"
"ENSMMUG00000042317","SUPT20HL1"
"ENSMMUG00000016052","SEZ6L"
"ENSMMUG00000021600","BMP6"
"ENSMMUG00000018996","YDJC"
"ENSMMUG00000009097","MMP11"
"ENSMMUG00000037750","EFCAB8"
"ENSMMUG00000021373","RHBDD3"
"ENSMMUG00000007819","AL121899.2"
"ENSMMUG00000007819","TGM3"
"ENSMMUG00000060949","KCNV2"
"ENSMMUG00000006853","CRYBB2"
"ENSMMUG00000048824","EVA1C"
"ENSMMUG00000020572","KPNA3"
"ENSMMUG00000002473","AKR1E2"
"ENSMMUG00000065121","RNY4P27"
"ENSMMUG00000010731","KIF13A"
"ENSMMUG00000026325","RNA5SP532"
"ENSMMUG00000026325","RNA5SP528"
"ENSMMUG00000014494","OTOR"
"ENSMMUG00000010114","RIN2"
"ENSMMUG00000050937","RASL10A"
"ENSMMUG00000063227","MAPRE1"
"ENSMMUG00000043506","TDRP"
"ENSMMUG00000021279","ZMYND11"
"ENSMMUG00000000968","MYLK2"
"ENSMMUG00000064215","YPEL1"
"ENSMMUG00000015329","MX1"
"ENSMMUG00000022079","C20orf27"
"ENSMMUG00000012899","SCML1"
"ENSMMUG00000048630","LIF"
"ENSMMUG00000060150","RNA5SP532"
"ENSMMUG00000060150","RNA5SP528"
"ENSMMUG00000044658","ADAMTSL1"
"ENSMMUG00000002702","FREM2"
"ENSMMUG00000063469","TGM6"
"ENSMMUG00000015985","KDM4C"
"ENSMMUG00000021968","METTL26"
"ENSMMUG00000049501","RNY4P24"
"ENSMMUG00000002288","GGT2"
"ENSMMUG00000002288","GGTLC2"
"ENSMMUG00000002288","GGT1"
"ENSMMUG00000002288","GGTLC1"
"ENSMMUG00000007209","GPER1"
"ENSMMUG00000064873","IFITM2"
"ENSMMUG00000012440","UNKL"
"ENSMMUG00000020146","SPINK4"
"ENSMMUG00000041468","MXRA5"
"ENSMMUG00000001088","PTCHD1"
"ENSMMUG00000021659","HRAS"
"ENSMMUG00000019181","GRIFIN"
"ENSMMUG00000057292","AP5S1"
"ENSMMUG00000015362","JARID2"
"ENSMMUG00000020392","SMS"
"ENSMMUG00000023717","MIER2"
"ENSMMUG00000012439","GNPTG"
"ENSMMUG00000012540","MICALL2"
"ENSMMUG00000064854","ZMAT5"
"ENSMMUG00000004734","SUMF1"
"ENSMMUG00000063885","Y_RNA"
"ENSMMUG00000043888","RN7SL761P"
"ENSMMUG00000022169","SERPIND1"
"ENSMMUG00000026679","Y_RNA"
"ENSMMUG00000037597","MAFK"
"ENSMMUG00000012524","MAPK1"
"ENSMMUG00000035727","RNU6-67P"
"ENSMMUG00000060753","RNU6-266P"
"ENSMMUG00000036785","SNORD121B"
"ENSMMUG00000006452","CCDC78"
"ENSMMUG00000044890","RNU1-48P"
"ENSMMUG00000044890","RNU1-41P"
"ENSMMUG00000013780","DIAPH3"
"ENSMMUG00000015923","ANKEF1"
"ENSMMUG00000005131","EDNRB"
"ENSMMUG00000020100","RANBP1"
"ENSMMUG00000013595","GEMIN8"
"ENSMMUG00000001141","BNC2"
"ENSMMUG00000064807","NRN1"
"ENSMMUG00000034229","RNU2-25P"
"ENSMMUG00000005469","ERMP1"
"ENSMMUG00000002202","SEL1L2"
"ENSMMUG00000012772","MAGEB3"
"ENSMMUG00000013473","SETDB2"
"ENSMMUG00000050690","SCP2D1"
"ENSMMUG00000018687","CD99"
"ENSMMUG00000054195","DEFA5"
"ENSMMUG00000061586","C6orf52"
"ENSMMUG00000038824","RPS4Y2"
"ENSMMUG00000053912","RN7SL818P"
"ENSMMUG00000053912","RN7SL725P"
"ENSMMUG00000046362","SOX21"
"ENSMMUG00000004556","GSTT4"
"ENSMMUG00000010407","LCA5L"
"ENSMMUG00000009682","R3HDM4"
"ENSMMUG00000013476","PHF11"
"ENSMMUG00000005545","OSM"
"ENSMMUG00000049373","LRRN1"
"ENSMMUG00000059690","ERVH48-1"
"ENSMMUG00000022877","PALM"
"ENSMMUG00000017652","OLIG2"
"ENSMMUG00000001993","NUP153"
"ENSMMUG00000061222","APMAP"
"ENSMMUG00000062955","RNU6-729P"
"ENSMMUG00000012548","INTS1"
"ENSMMUG00000003272","USP41"
"ENSMMUG00000018058","ABCG1"
"ENSMMUG00000029296","PIGQ"
"ENSMMUG00000012768","HCN2"
"ENSMMUG00000047340","ALG11"
"ENSMMUG00000013258","TMEM230"
"ENSMMUG00000008681","NOL7"
"ENSMMUG00000031293","ANO9"
"ENSMMUG00000026555","RNU6-190P"
"ENSMMUG00000027297","MIR651"
"ENSMMUG00000038337","RN7SL597P"
"ENSMMUG00000042416","SUPT20HL2"
"ENSMMUG00000042416","SUPT20HL1"
"ENSMMUG00000061449","EQTN"
"ENSMMUG00000020050","SIK1"
"ENSMMUG00000005547","SF3A1"
"ENSMMUG00000032819","SNORD86"
"ENSMMUG00000000802","RFX3"
"ENSMMUG00000024041","AF064863.1"
"ENSMMUG00000014487","TOP3B"
"ENSMMUG00000064248","HSFY1"
"ENSMMUG00000064248","HSFY2"
"ENSMMUG00000011360","VPS36"
"ENSMMUG00000016352","FARS2"
"ENSMMUG00000060434","CLDN5"
"ENSMMUG00000057507","Metazoa_SRP"
"ENSMMUG00000034574","RNU6-163P"
"ENSMMUG00000012307","POSTN"
"ENSMMUG00000053772","Y_RNA"
"ENSMMUG00000028950","CDC34"
"ENSMMUG00000058170","RNU6-810P"
"ENSMMUG00000004087","BRAT1"
"ENSMMUG00000002936","GMPR"
"ENSMMUG00000006966","FAM47A"
"ENSMMUG00000049968","POLRMT"
"ENSMMUG00000064092","IL3RA"
"ENSMMUG00000049219","STUB1"
"ENSMMUG00000061481","ITPA"
"ENSMMUG00000037513","MAGEB6B"
"ENSMMUG00000022072","NUDT1"
"ENSMMUG00000012880","DTD1"
"ENSMMUG00000040219","RN7SL332P"
"ENSMMUG00000004486","COG6"
"ENSMMUG00000016238","RBBP7"
"ENSMMUG00000023535","IGLV10-54"
"ENSMMUG00000052032","RNU6-115P"
"ENSMMUG00000039501","RBAK"
"ENSMMUG00000054514","IFNA6"
"ENSMMUG00000011409","NKX2-4"
"ENSMMUG00000010678","OXT"
"ENSMMUG00000012354","NDUFAF5"
"ENSMMUG00000042902","MIR92A1"
"ENSMMUG00000057039","RNU4ATAC11P"
"ENSMMUG00000018740","BSG"
"ENSMMUG00000019571","TIAM1"
"ENSMMUG00000001248","F13A1"
"ENSMMUG00000063470","C20orf203"
"ENSMMUG00000020092","IGLL5"
"ENSMMUG00000020092","IGLC1"
"ENSMMUG00000020092","IGLC2"
"ENSMMUG00000020092","IGLC3"
"ENSMMUG00000020092","IGLC7"
"ENSMMUG00000039016","CALML3"
"ENSMMUG00000058145","UFM1"
"ENSMMUG00000012235","CD274"
"ENSMMUG00000001663","IL1RAPL1"
"ENSMMUG00000026252","RNY1P8"
"ENSMMUG00000000025","ZNRF3"
"ENSMMUG00000008256","AMELX"
"ENSMMUG00000051112","PDRG1"
