"SampleID","score","library name","title","organism","tissue","molecule","single or paired-end","instrument model","id","Pitt_id","vax_group","vax_dose","dose","TimeafterBCG","total_Mtb_CFU","log_Mtb_CFU","grans_nx","protect_status","processed data file","raw file","raw file 2","moduleID","norm_score"
"DF9F_142",6.89277195773114,"DF9F_142","DF9F HD-ID d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF9F",18817,"HD-ID","2.90E+07","high","d2",42860,4.632,23,"not_protected","bcg_routecohort_processed.txt","DF9F_142_read1.fastq.gz","DF9F_142_read2.fastq.gz","M1",-0.051909695434067
"DF9F_143",6.7352924663031,"DF9F_143","DF9F HD-ID wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF9F",18817,"HD-ID","2.90E+07","high","wk2",42860,4.632,23,"not_protected","bcg_routecohort_processed.txt","DF9F_143_read1.fastq.gz","DF9F_143_read2.fastq.gz","M1",-0.209389186862108
"DF9F_144",6.83754977572657,"DF9F_144","DF9F HD-ID wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF9F",18817,"HD-ID","2.90E+07","high","wk12",42860,4.632,23,"not_protected","bcg_routecohort_processed.txt","DF9F_144_read1.fastq.gz","DF9F_144_read2.fastq.gz","M1",-0.107131877438641
"DF9I_117",6.77748626035127,"DF9I_117","DF9I ID pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF9I",18917,"ID","3.10E+05","low","pre",700608,5.845,16,"not_protected","bcg_routecohort_processed.txt","DF9I_117_read1.fastq.gz","DF9I_117_read2.fastq.gz","M1",0
"DF9I_118",6.6381833198701,"DF9I_118","DF9I ID d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF9I",18917,"ID","3.10E+05","low","d2",700608,5.845,16,"not_protected","bcg_routecohort_processed.txt","DF9I_118_read1.fastq.gz","DF9I_118_read2.fastq.gz","M1",-0.139302940481167
"DF9I_119",6.7860931457704,"DF9I_119","DF9I ID wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF9I",18917,"ID","3.10E+05","low","wk2",700608,5.845,16,"not_protected","bcg_routecohort_processed.txt","DF9I_119_read1.fastq.gz","DF9I_119_read2.fastq.gz","M1",0.00860688541912946
"DF9I_120",6.69382443522982,"DF9I_120","DF9I ID wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF9I",18917,"ID","3.10E+05","low","wk12",700608,5.845,16,"not_protected","bcg_routecohort_processed.txt","DF9I_120_read1.fastq.gz","DF9I_120_read2.fastq.gz","M1",-0.0836618251214452
"DFB3_100",6.76256140515015,"DFB3_100","DFB3 AE wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFB3",12417,"AE","3.70E+07","high","wk12",71910,4.857,20,"not_protected","bcg_routecohort_processed.txt","DFB3_100_read1.fastq.gz","DFB3_100_read2.fastq.gz","M1",-0.134064976026947
"DFB3_97",6.8966263811771,"DFB3_97","DFB3 AE pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFB3",12417,"AE","3.70E+07","high","pre",71910,4.857,20,"not_protected","bcg_routecohort_processed.txt","DFB3_97_read1.fastq.gz","DFB3_97_read2.fastq.gz","M1",0
"DFB3_98",6.85838927754251,"DFB3_98","DFB3 AE d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFB3",12417,"AE","3.70E+07","high","d2",71910,4.857,20,"not_protected","bcg_routecohort_processed.txt","DFB3_98_read1.fastq.gz","DFB3_98_read2.fastq.gz","M1",-0.0382371036345859
"DFB3_99",6.80742502323737,"DFB3_99","DFB3 AE wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFB3",12417,"AE","3.70E+07","high","wk2",71910,4.857,20,"not_protected","bcg_routecohort_processed.txt","DFB3_99_read1.fastq.gz","DFB3_99_read2.fastq.gz","M1",-0.0892013579397277
"DFG1_133",6.64793251525431,"DFG1_133","DFG1 IV pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFG1",18217,"IV","3.70E+07","high","pre",1549460,6.19,8,"not_protected","bcg_routecohort_processed.txt","DFG1_133_read1.fastq.gz","DFG1_133_read2.fastq.gz","M1",0
"DFG1_134",7.4034325954365,"DFG1_134","DFG1 IV d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFG1",18217,"IV","3.70E+07","high","d2",1549460,6.19,8,"not_protected","bcg_routecohort_processed.txt","DFG1_134_read1.fastq.gz","DFG1_134_read2.fastq.gz","M1",0.755500080182191
"DFG1_135",7.3943323136658,"DFG1_135","DFG1 IV wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFG1",18217,"IV","3.70E+07","high","wk2",1549460,6.19,8,"not_protected","bcg_routecohort_processed.txt","DFG1_135_read1.fastq.gz","DFG1_135_read2.fastq.gz","M1",0.746399798411492
"DFG1_136",6.73918981651163,"DFG1_136","DFG1 IV wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFG1",18217,"IV","3.70E+07","high","wk12",1549460,6.19,8,"not_protected","bcg_routecohort_processed.txt","DFG1_136_read1.fastq.gz","DFG1_136_read2.fastq.gz","M1",0.0912573012573219
"DFI0_21",6.81926768615713,"DFI0_21","DFI0 AE pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFI0",35316,"AE","5.20E+07","high","pre",61549,4.789,60,"not_protected","bcg_routecohort_processed.txt","DFI0_21_read1.fastq.gz","DFI0_21_read2.fastq.gz","M1",0
"DFI0_22",6.92918479411131,"DFI0_22","DFI0 AE d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFI0",35316,"AE","5.20E+07","high","d2",61549,4.789,60,"not_protected","bcg_routecohort_processed.txt","DFI0_22_read1.fastq.gz","DFI0_22_read2.fastq.gz","M1",0.109917107954174
"DFI0_23",6.76599155973277,"DFI0_23","DFI0 AE wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFI0",35316,"AE","5.20E+07","high","wk2",61549,4.789,60,"not_protected","bcg_routecohort_processed.txt","DFI0_23_read1.fastq.gz","DFI0_23_read2.fastq.gz","M1",-0.0532761264243664
"DFI0_24",6.70292077851164,"DFI0_24","DFI0 AE wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFI0",35316,"AE","5.20E+07","high","wk12",61549,4.789,60,"not_protected","bcg_routecohort_processed.txt","DFI0_24_read1.fastq.gz","DFI0_24_read2.fastq.gz","M1",-0.11634690764549
"DFJ3_121",6.72462858539568,"DFJ3_121","DFJ3 AE pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFJ3",18617,"AE","3.70E+07","high","pre",74120,4.87,10,"not_protected","bcg_routecohort_processed.txt","DFJ3_121_read1.fastq.gz","DFJ3_121_read2.fastq.gz","M1",0
"DFJ3_122",6.58902722502773,"DFJ3_122","DFJ3 AE d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFJ3",18617,"AE","3.70E+07","high","d2",74120,4.87,10,"not_protected","bcg_routecohort_processed.txt","DFJ3_122_read1.fastq.gz","DFJ3_122_read2.fastq.gz","M1",-0.135601360367943
"DFJ3_123",6.71510128043024,"DFJ3_123","DFJ3 AE wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFJ3",18617,"AE","3.70E+07","high","wk2",74120,4.87,10,"not_protected","bcg_routecohort_processed.txt","DFJ3_123_read1.fastq.gz","DFJ3_123_read2.fastq.gz","M1",-0.00952730496543719
"DFJ3_124",6.54645326138443,"DFJ3_124","DFJ3 AE wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFJ3",18617,"AE","3.70E+07","high","wk12",74120,4.87,10,"not_protected","bcg_routecohort_processed.txt","DFJ3_124_read1.fastq.gz","DFJ3_124_read2.fastq.gz","M1",-0.178175324011247
"DFL6_129",6.89591802681254,"DFL6_129","DFL6 ID/AE pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFL6",18417,"ID/AE","3.7E+07 / 3.1E+05","high","pre",3057750,6.485,60,"not_protected","bcg_routecohort_processed.txt","DFL6_129_read1.fastq.gz","DFL6_129_read2.fastq.gz","M1",0
"DFL6_130",6.97410584315038,"DFL6_130","DFL6 ID/AE d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFL6",18417,"ID/AE","3.7E+07 / 3.1E+05","high","d2",3057750,6.485,60,"not_protected","bcg_routecohort_processed.txt","DFL6_130_read1.fastq.gz","DFL6_130_read2.fastq.gz","M1",0.0781878163378389
"DFL6_131",6.76208050688284,"DFL6_131","DFL6 ID/AE wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFL6",18417,"ID/AE","3.7E+07 / 3.1E+05","high","wk2",3057750,6.485,60,"not_protected","bcg_routecohort_processed.txt","DFL6_131_read1.fastq.gz","DFL6_131_read2.fastq.gz","M1",-0.133837519929704
"DFL6_132",6.80049954376521,"DFL6_132","DFL6 ID/AE wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFL6",18417,"ID/AE","3.7E+07 / 3.1E+05","high","wk12",3057750,6.485,60,"not_protected","bcg_routecohort_processed.txt","DFL6_132_read1.fastq.gz","DFL6_132_read2.fastq.gz","M1",-0.0954184830473306
"DFTA_85",6.69709222161307,"DFTA_85","DFTA IV pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFTA",13617,"IV","3.70E+07","high","pre",0,0,0,"protected","bcg_routecohort_processed.txt","DFTA_85_read1.fastq.gz","DFTA_85_read2.fastq.gz","M1",0
"DFTA_86",7.83722197796156,"DFTA_86","DFTA IV d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFTA",13617,"IV","3.70E+07","high","d2",0,0,0,"protected","bcg_routecohort_processed.txt","DFTA_86_read1.fastq.gz","DFTA_86_read2.fastq.gz","M1",1.14012975634849
"DFTA_87",7.47700388232074,"DFTA_87","DFTA IV wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFTA",13617,"IV","3.70E+07","high","wk2",0,0,0,"protected","bcg_routecohort_processed.txt","DFTA_87_read1.fastq.gz","DFTA_87_read2.fastq.gz","M1",0.779911660707674
"DFTA_88",7.26874943038138,"DFTA_88","DFTA IV wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFTA",13617,"IV","3.70E+07","high","wk12",0,0,0,"protected","bcg_routecohort_processed.txt","DFTA_88_read1.fastq.gz","DFTA_88_read2.fastq.gz","M1",0.571657208768309
"DFVJ_1",6.935422454958,"DFVJ_1","DFVJ ID pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFVJ",35616,"ID","3.50E+05","low","pre",19330,4.286,22,"not_protected","bcg_routecohort_processed.txt","DFVJ_1_read1.fastq.gz","DFVJ_1_read2.fastq.gz","M1",0
"DFVJ_2",7.03193552127134,"DFVJ_2","DFVJ ID d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFVJ",35616,"ID","3.50E+05","low","d2",19330,4.286,22,"not_protected","bcg_routecohort_processed.txt","DFVJ_2_read1.fastq.gz","DFVJ_2_read2.fastq.gz","M1",0.0965130663133413
"DFVJ_3",6.92542288103175,"DFVJ_3","DFVJ ID wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFVJ",35616,"ID","3.50E+05","low","wk2",19330,4.286,22,"not_protected","bcg_routecohort_processed.txt","DFVJ_3_read1.fastq.gz","DFVJ_3_read2.fastq.gz","M1",-0.00999957392625639
"DFVJ_4",6.93652010542993,"DFVJ_4","DFVJ ID wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFVJ",35616,"ID","3.50E+05","low","wk12",19330,4.286,22,"not_protected","bcg_routecohort_processed.txt","DFVJ_4_read1.fastq.gz","DFVJ_4_read2.fastq.gz","M1",0.00109765047193111
"DFWG_101",7.11058352783207,"DFWG_101","DFWG ID/AE pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFWG",13817,"ID/AE","3.7E+07 / 3.1E+05","high","pre",1123268,6.05,60,"not_protected","bcg_routecohort_processed.txt","DFWG_101_read1.fastq.gz","DFWG_101_read2.fastq.gz","M1",0
"DFWG_102",7.29486802881343,"DFWG_102","DFWG ID/AE d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFWG",13817,"ID/AE","3.7E+07 / 3.1E+05","high","d2",1123268,6.05,60,"not_protected","bcg_routecohort_processed.txt","DFWG_102_read1.fastq.gz","DFWG_102_read2.fastq.gz","M1",0.184284500981364
"DFWG_103",7.11857115501549,"DFWG_103","DFWG ID/AE wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFWG",13817,"ID/AE","3.7E+07 / 3.1E+05","high","wk2",1123268,6.05,60,"not_protected","bcg_routecohort_processed.txt","DFWG_103_read1.fastq.gz","DFWG_103_read2.fastq.gz","M1",0.00798762718342161
"DFWG_104",6.75305728466637,"DFWG_104","DFWG ID/AE wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFWG",13817,"ID/AE","3.7E+07 / 3.1E+05","high","wk12",1123268,6.05,60,"not_protected","bcg_routecohort_processed.txt","DFWG_104_read1.fastq.gz","DFWG_104_read2.fastq.gz","M1",-0.357526243165702
"DFX6_5",6.75190715639978,"DFX6_5","DFX6 AE pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFX6",35016,"AE","5.20E+07","high","pre",697082,5.843,17,"not_protected","bcg_routecohort_processed.txt","DFX6_5_read1.fastq.gz","DFX6_5_read2.fastq.gz","M1",0
"DFX6_6",7.57983712193368,"DFX6_6","DFX6 AE d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFX6",35016,"AE","5.20E+07","high","d2",697082,5.843,17,"not_protected","bcg_routecohort_processed.txt","DFX6_6_read1.fastq.gz","DFX6_6_read2.fastq.gz","M1",0.8279299655339
"DFX6_7",6.77005420303065,"DFX6_7","DFX6 AE wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFX6",35016,"AE","5.20E+07","high","wk2",697082,5.843,17,"not_protected","bcg_routecohort_processed.txt","DFX6_7_read1.fastq.gz","DFX6_7_read2.fastq.gz","M1",0.0181470466308733
"DFX6_8",6.63247071643636,"DFX6_8","DFX6 AE wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFX6",35016,"AE","5.20E+07","high","wk12",697082,5.843,17,"not_protected","bcg_routecohort_processed.txt","DFX6_8_read1.fastq.gz","DFX6_8_read2.fastq.gz","M1",-0.119436439963413
"DFXH_25",6.74081387591077,"DFXH_25","DFXH ID/AE pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFXH",36916,"ID/AE","5.2E+07 / 3.5E+05","high","pre",86330,4.936,19,"not_protected","bcg_routecohort_processed.txt","DFXH_25_read1.fastq.gz","DFXH_25_read2.fastq.gz","M1",0
"DFXH_26",6.53385791266153,"DFXH_26","DFXH ID/AE d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFXH",36916,"ID/AE","5.2E+07 / 3.5E+05","high","d2",86330,4.936,19,"not_protected","bcg_routecohort_processed.txt","DFXH_26_read1.fastq.gz","DFXH_26_read2.fastq.gz","M1",-0.206955963249243
"DFXH_27",6.58070524205246,"DFXH_27","DFXH ID/AE wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFXH",36916,"ID/AE","5.2E+07 / 3.5E+05","high","wk2",86330,4.936,19,"not_protected","bcg_routecohort_processed.txt","DFXH_27_read1.fastq.gz","DFXH_27_read2.fastq.gz","M1",-0.160108633858306
"DFXH_28",6.57188659311858,"DFXH_28","DFXH ID/AE wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFXH",36916,"ID/AE","5.2E+07 / 3.5E+05","high","wk12",86330,4.936,19,"not_protected","bcg_routecohort_processed.txt","DFXH_28_read1.fastq.gz","DFXH_28_read2.fastq.gz","M1",-0.168927282792193
"DFXL_17",6.74797043530031,"DFXL_17","DFXL ID pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFXL",35916,"ID","3.50E+05","low","pre",37530,4.574,22,"not_protected","bcg_routecohort_processed.txt","DFXL_17_read1.fastq.gz","DFXL_17_read2.fastq.gz","M1",0
"DFXL_18",6.63538142489524,"DFXL_18","DFXL ID d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFXL",35916,"ID","3.50E+05","low","d2",37530,4.574,22,"not_protected","bcg_routecohort_processed.txt","DFXL_18_read1.fastq.gz","DFXL_18_read2.fastq.gz","M1",-0.112589010405065
"DFXL_19",6.7965519994168,"DFXL_19","DFXL ID wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFXL",35916,"ID","3.50E+05","low","wk2",37530,4.574,22,"not_protected","bcg_routecohort_processed.txt","DFXL_19_read1.fastq.gz","DFXL_19_read2.fastq.gz","M1",0.0485815641164979
"DFXL_20",6.68131820195807,"DFXL_20","DFXL ID wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFXL",35916,"ID","3.50E+05","low","wk12",37530,4.574,22,"not_protected","bcg_routecohort_processed.txt","DFXL_20_read1.fastq.gz","DFXL_20_read2.fastq.gz","M1",-0.0666522333422366
"DFZ4_93",6.74555885800543,"DFZ4_93","DFZ4 ID pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFZ4",12717,"ID","3.10E+05","low","pre",116495,5.066,22,"not_protected","bcg_routecohort_processed.txt","DFZ4_93_read1.fastq.gz","DFZ4_93_read2.fastq.gz","M1",0
"DFZ4_94",6.353416244954,"DFZ4_94","DFZ4 ID d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DFZ4",12717,"ID","3.10E+05","low","d2",116495,5.066,22,"not_protected","bcg_routecohort_processed.txt","DFZ4_94_read1.fastq.gz","DFZ4_94_read2.fastq.gz","M1",-0.39214261305143
