"SampleID","score","library name","title","organism","tissue","molecule","single or paired-end","instrument model","id","Pitt_id","BCG_dose_log10","dose","TimeafterBCG","total_Mtb_CFU","log_Mtb_CFU","grans_nx","log_grans_nx","protect_status","processed data file","raw file","raw file 2","moduleID","norm_score"
"13N026_wk12Pre",7.93680356079234,"13N026_wk12Pre","13N026 low dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N026",3318,5.66,"low","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N026_wk12Pre_read1.fastq.gz","13N026_wk12Pre_read2.fastq.gz","M1",0.14443292271154
"13N026_wk2Pre",7.9608354838862,"13N026_wk2Pre","13N026 low dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N026",3318,5.66,"low","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N026_wk2Pre_read1.fastq.gz","13N026_wk2Pre_read2.fastq.gz","M1",0.168464845805404
"13N026_wk4Pre",7.93891636529338,"13N026_wk4Pre","13N026 low dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N026",3318,5.66,"low","wk4",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N026_wk4Pre_read1.fastq.gz","13N026_wk4Pre_read2.fastq.gz","M1",0.146545727212581
"13N026_wkm4Pre",7.7923706380808,"13N026_wkm4Pre","13N026 low dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N026",3318,5.66,"low","pre",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N026_wkm4Pre_read1.fastq.gz","13N026_wkm4Pre_read2.fastq.gz","M1",0
"A11V075_d2Pre",9.00026846236329,"A11V075_d2Pre","A11V075 high dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A11V075",4618,7.4,"high","d2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A11V075_d2Pre_read1.fastq.gz","A11V075_d2Pre_read2.fastq.gz","M1",1.35358844391804
"A11V075_wk12Pre",8.39257340749671,"A11V075_wk12Pre","A11V075 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A11V075",4618,7.4,"high","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A11V075_wk12Pre_read1.fastq.gz","A11V075_wk12Pre_read2.fastq.gz","M1",0.745893389051451
"A11V075_wk2Pre",8.13200904183819,"A11V075_wk2Pre","A11V075 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A11V075",4618,7.4,"high","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A11V075_wk2Pre_read1.fastq.gz","A11V075_wk2Pre_read2.fastq.gz","M1",0.485329023392934
"A11V075_wk4Pre",8.21323705103032,"A11V075_wk4Pre","A11V075 high dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A11V075",4618,7.4,"high","wk4",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A11V075_wk4Pre_read1.fastq.gz","A11V075_wk4Pre_read2.fastq.gz","M1",0.566557032585063
"A11V075_wkm4Pre",7.64668001844526,"A11V075_wkm4Pre","A11V075 high dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A11V075",4618,7.4,"high","pre",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A11V075_wkm4Pre_read1.fastq.gz","A11V075_wkm4Pre_read2.fastq.gz","M1",0
"A12V044_d2Pre",7.49373923832612,"A12V044_d2Pre","A12V044 high dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V044",4418,6.39,"high","d2",8545,3.93,"7",0.9,"not_protected","ivbcg_dosecohort_processed.txt","A12V044_d2Pre_read1.fastq.gz","A12V044_d2Pre_read2.fastq.gz","M1",-0.139994629881669
"A12V044_wk12Pre",7.90165676243299,"A12V044_wk12Pre","A12V044 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V044",4418,6.39,"high","wk12",8545,3.93,"7",0.9,"not_protected","ivbcg_dosecohort_processed.txt","A12V044_wk12Pre_read1.fastq.gz","A12V044_wk12Pre_read2.fastq.gz","M1",0.267922894225198
"A12V044_wk2Pre",8.82326641785389,"A12V044_wk2Pre","A12V044 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V044",4418,6.39,"high","wk2",8545,3.93,"7",0.9,"not_protected","ivbcg_dosecohort_processed.txt","A12V044_wk2Pre_read1.fastq.gz","A12V044_wk2Pre_read2.fastq.gz","M1",1.1895325496461
"A12V044_wk4Pre",7.93312591540107,"A12V044_wk4Pre","A12V044 high dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V044",4418,6.39,"high","wk4",8545,3.93,"7",0.9,"not_protected","ivbcg_dosecohort_processed.txt","A12V044_wk4Pre_read1.fastq.gz","A12V044_wk4Pre_read2.fastq.gz","M1",0.299392047193273
"A12V044_wkm4Pre",7.63373386820779,"A12V044_wkm4Pre","A12V044 high dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V044",4418,6.39,"high","pre",8545,3.93,"7",0.9,"not_protected","ivbcg_dosecohort_processed.txt","A12V044_wkm4Pre_read1.fastq.gz","A12V044_wkm4Pre_read2.fastq.gz","M1",0
"A12V053_d2Pre",8.85442065847733,"A12V053_d2Pre","A12V053 high dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V053",4118,7.4,"high","d2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V053_d2Pre_read1.fastq.gz","A12V053_d2Pre_read2.fastq.gz","M1",1.2441105075575
"A12V053_wk12Pre",8.08884551981027,"A12V053_wk12Pre","A12V053 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V053",4118,7.4,"high","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V053_wk12Pre_read1.fastq.gz","A12V053_wk12Pre_read2.fastq.gz","M1",0.478535368890441
"A12V053_wk2Pre",8.46281196912139,"A12V053_wk2Pre","A12V053 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V053",4118,7.4,"high","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V053_wk2Pre_read1.fastq.gz","A12V053_wk2Pre_read2.fastq.gz","M1",0.852501818201558
"A12V053_wk4Pre",8.22640954992877,"A12V053_wk4Pre","A12V053 high dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V053",4118,7.4,"high","wk4",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V053_wk4Pre_read1.fastq.gz","A12V053_wk4Pre_read2.fastq.gz","M1",0.61609939900894
"A12V053_wkm4Pre",7.61031015091983,"A12V053_wkm4Pre","A12V053 high dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V053",4118,7.4,"high","pre",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V053_wkm4Pre_read1.fastq.gz","A12V053_wkm4Pre_read2.fastq.gz","M1",0
"A12V057_d2Pre",8.53226386820975,"A12V057_d2Pre","A12V057 low dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V057",4318,5.66,"low","d2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V057_d2Pre_read1.fastq.gz","A12V057_d2Pre_read2.fastq.gz","M1",1.02494006990642
"A12V057_wk12Pre",7.65048885790347,"A12V057_wk12Pre","A12V057 low dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V057",4318,5.66,"low","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V057_wk12Pre_read1.fastq.gz","A12V057_wk12Pre_read2.fastq.gz","M1",0.14316505960014
"A12V057_wk2Pre",7.88234685132275,"A12V057_wk2Pre","A12V057 low dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V057",4318,5.66,"low","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V057_wk2Pre_read1.fastq.gz","A12V057_wk2Pre_read2.fastq.gz","M1",0.375023053019424
"A12V057_wk4Pre",7.71068063969629,"A12V057_wk4Pre","A12V057 low dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V057",4318,5.66,"low","wk4",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V057_wk4Pre_read1.fastq.gz","A12V057_wk4Pre_read2.fastq.gz","M1",0.203356841392964
"A12V057_wkm4Pre",7.50732379830333,"A12V057_wkm4Pre","A12V057 low dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V057",4318,5.66,"low","pre",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V057_wkm4Pre_read1.fastq.gz","A12V057_wkm4Pre_read2.fastq.gz","M1",0
"A12V058_d2Pre",8.98569747473654,"A12V058_d2Pre","A12V058 high dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V058",2718,6.84,"high","d2",2970,3.47,"4",0.7,"not_protected","ivbcg_dosecohort_processed.txt","A12V058_d2Pre_read1.fastq.gz","A12V058_d2Pre_read2.fastq.gz","M1",1.41020205673379
"A12V058_wk12Pre",7.92560679860708,"A12V058_wk12Pre","A12V058 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V058",2718,6.84,"high","wk12",2970,3.47,"4",0.7,"not_protected","ivbcg_dosecohort_processed.txt","A12V058_wk12Pre_read1.fastq.gz","A12V058_wk12Pre_read2.fastq.gz","M1",0.350111380604328
"A12V058_wk2Pre",8.21632008059477,"A12V058_wk2Pre","A12V058 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V058",2718,6.84,"high","wk2",2970,3.47,"4",0.7,"not_protected","ivbcg_dosecohort_processed.txt","A12V058_wk2Pre_read1.fastq.gz","A12V058_wk2Pre_read2.fastq.gz","M1",0.640824662592012
"A12V058_wk4Pre",7.87914286235311,"A12V058_wk4Pre","A12V058 high dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V058",2718,6.84,"high","wk4",2970,3.47,"4",0.7,"not_protected","ivbcg_dosecohort_processed.txt","A12V058_wk4Pre_read1.fastq.gz","A12V058_wk4Pre_read2.fastq.gz","M1",0.303647444350357
"A12V058_wkm4Pre",7.57549541800276,"A12V058_wkm4Pre","A12V058 high dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V058",2718,6.84,"high","pre",2970,3.47,"4",0.7,"not_protected","ivbcg_dosecohort_processed.txt","A12V058_wkm4Pre_read1.fastq.gz","A12V058_wkm4Pre_read2.fastq.gz","M1",0
"A12V062_d2Pre",8.2187722204522,"A12V062_d2Pre","A12V062 low dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V062",3418,4.59,"low","d2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V062_d2Pre_read1.fastq.gz","A12V062_d2Pre_read2.fastq.gz","M1",0.707739155353926
"A12V062_wk12Pre",7.76160171790936,"A12V062_wk12Pre","A12V062 low dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V062",3418,4.59,"low","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V062_wk12Pre_read1.fastq.gz","A12V062_wk12Pre_read2.fastq.gz","M1",0.25056865281108
"A12V062_wk2Pre",7.63153258411792,"A12V062_wk2Pre","A12V062 low dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V062",3418,4.59,"low","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V062_wk2Pre_read1.fastq.gz","A12V062_wk2Pre_read2.fastq.gz","M1",0.120499519019646
"A12V062_wk4Pre",7.80651227803312,"A12V062_wk4Pre","A12V062 low dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V062",3418,4.59,"low","wk4",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V062_wk4Pre_read1.fastq.gz","A12V062_wk4Pre_read2.fastq.gz","M1",0.295479212934847
"A12V062_wkm4Pre",7.51103306509828,"A12V062_wkm4Pre","A12V062 low dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V062",3418,4.59,"low","pre",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V062_wkm4Pre_read1.fastq.gz","A12V062_wkm4Pre_read2.fastq.gz","M1",0
"A12V066_d2Pre",9.1822633875371,"A12V066_d2Pre","A12V066 high dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V066",4918,6.39,"high","d2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V066_d2Pre_read1.fastq.gz","A12V066_d2Pre_read2.fastq.gz","M1",1.63071939231501
"A12V066_wk12Pre",7.74117969232643,"A12V066_wk12Pre","A12V066 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V066",4918,6.39,"high","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V066_wk12Pre_read1.fastq.gz","A12V066_wk12Pre_read2.fastq.gz","M1",0.189635697104344
"A12V066_wk2Pre",8.51715061510283,"A12V066_wk2Pre","A12V066 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V066",4918,6.39,"high","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V066_wk2Pre_read1.fastq.gz","A12V066_wk2Pre_read2.fastq.gz","M1",0.965606619880751
"A12V066_wk4Pre",7.98959777161614,"A12V066_wk4Pre","A12V066 high dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V066",4918,6.39,"high","wk4",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V066_wk4Pre_read1.fastq.gz","A12V066_wk4Pre_read2.fastq.gz","M1",0.438053776394055
"A12V066_wkm4Pre",7.55154399522208,"A12V066_wkm4Pre","A12V066 high dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V066",4918,6.39,"high","pre",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V066_wkm4Pre_read1.fastq.gz","A12V066_wkm4Pre_read2.fastq.gz","M1",0
"A12V095_d2Pre",8.1823824142677,"A12V095_d2Pre","A12V095 low dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V095",3118,5.31,"low","d2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V095_d2Pre_read1.fastq.gz","A12V095_d2Pre_read2.fastq.gz","M1",0.501764904372417
"A12V095_wk12Pre",7.83384557494233,"A12V095_wk12Pre","A12V095 low dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V095",3118,5.31,"low","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V095_wk12Pre_read1.fastq.gz","A12V095_wk12Pre_read2.fastq.gz","M1",0.153228065047049
"A12V095_wk2Pre",8.19771093027113,"A12V095_wk2Pre","A12V095 low dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V095",3118,5.31,"low","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V095_wk2Pre_read1.fastq.gz","A12V095_wk2Pre_read2.fastq.gz","M1",0.517093420375844
"A12V095_wk4Pre",7.87738114261933,"A12V095_wk4Pre","A12V095 low dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V095",3118,5.31,"low","wk4",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V095_wk4Pre_read1.fastq.gz","A12V095_wk4Pre_read2.fastq.gz","M1",0.196763632724048
"A12V095_wkm4Pre",7.68061750989528,"A12V095_wkm4Pre","A12V095 low dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V095",3118,5.31,"low","pre",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A12V095_wkm4Pre_read1.fastq.gz","A12V095_wkm4Pre_read2.fastq.gz","M1",0
"A12V119_d2Pre",7.58805908342529,"A12V119_d2Pre","A12V119 low dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V119",4018,4.59,"low","d2",96612,4.99,"60",1.79,"not_protected","ivbcg_dosecohort_processed.txt","A12V119_d2Pre_read1.fastq.gz","A12V119_d2Pre_read2.fastq.gz","M1",0.0907171736144559
"A12V119_wk12Pre",7.69640063665449,"A12V119_wk12Pre","A12V119 low dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V119",4018,4.59,"low","wk12",96612,4.99,"60",1.79,"not_protected","ivbcg_dosecohort_processed.txt","A12V119_wk12Pre_read1.fastq.gz","A12V119_wk12Pre_read2.fastq.gz","M1",0.19905872684365
"A12V119_wk2Pre",7.76018121155965,"A12V119_wk2Pre","A12V119 low dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V119",4018,4.59,"low","wk2",96612,4.99,"60",1.79,"not_protected","ivbcg_dosecohort_processed.txt","A12V119_wk2Pre_read1.fastq.gz","A12V119_wk2Pre_read2.fastq.gz","M1",0.262839301748812
"A12V119_wk4Pre",7.74363917713606,"A12V119_wk4Pre","A12V119 low dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V119",4018,4.59,"low","wk4",96612,4.99,"60",1.79,"not_protected","ivbcg_dosecohort_processed.txt","A12V119_wk4Pre_read1.fastq.gz","A12V119_wk4Pre_read2.fastq.gz","M1",0.246297267325226
"A12V119_wkm4Pre",7.49734190981084,"A12V119_wkm4Pre","A12V119 low dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V119",4018,4.59,"low","pre",96612,4.99,"60",1.79,"not_protected","ivbcg_dosecohort_processed.txt","A12V119_wkm4Pre_read1.fastq.gz","A12V119_wkm4Pre_read2.fastq.gz","M1",0
"A12V158_d2Pre",8.96914681123215,"A12V158_d2Pre","A12V158 high dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V158",2618,6.84,"high","d2",182028,5.26,"5",0.78,"not_protected","ivbcg_dosecohort_processed.txt","A12V158_d2Pre_read1.fastq.gz","A12V158_d2Pre_read2.fastq.gz","M1",1.20265600812332
"A12V158_wk12Pre",8.45130377496853,"A12V158_wk12Pre","A12V158 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V158",2618,6.84,"high","wk12",182028,5.26,"5",0.78,"not_protected","ivbcg_dosecohort_processed.txt","A12V158_wk12Pre_read1.fastq.gz","A12V158_wk12Pre_read2.fastq.gz","M1",0.684812971859699
"A12V158_wk2Pre",8.47009026892546,"A12V158_wk2Pre","A12V158 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V158",2618,6.84,"high","wk2",182028,5.26,"5",0.78,"not_protected","ivbcg_dosecohort_processed.txt","A12V158_wk2Pre_read1.fastq.gz","A12V158_wk2Pre_read2.fastq.gz","M1",0.70359946581663
"A12V158_wkm4Pre",7.76649080310883,"A12V158_wkm4Pre","A12V158 high dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A12V158",2618,6.84,"high","pre",182028,5.26,"5",0.78,"not_protected","ivbcg_dosecohort_processed.txt","A12V158_wkm4Pre_read1.fastq.gz","A12V158_wkm4Pre_read2.fastq.gz","M1",0
"A14V013_wk12Pre",7.89639279971616,"A14V013_wk12Pre","A14V013 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A14V013",3518,6.84,"high","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A14V013_wk12Pre_read1.fastq.gz","A14V013_wk12Pre_read2.fastq.gz","M1",0.14331029971631
"A14V013_wk2Pre",8.84030274806302,"A14V013_wk2Pre","A14V013 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","A14V013",3518,6.84,"high","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","A14V013_wk2Pre_read1.fastq.gz","A14V013_wk2Pre_read2.fastq.gz","M1",1.08722024806318
